iter	Logloss
0	0.6844244001
1	0.67623852
2	0.6684313118
3	0.6616562295
4	0.6546228628
5	0.6479075851
6	0.6420579376
7	0.63677408
8	0.6312500311
9	0.6263341452
10	0.6217445193
11	0.617447263
12	0.6133319497
13	0.6095718456
14	0.6060708818
15	0.6028829099
16	0.5998036914
17	0.5967117104
18	0.5940896452
19	0.5915551273
20	0.5892836798
21	0.5872369764
22	0.5852713613
23	0.583284618
24	0.5814349158
25	0.5797856387
26	0.5781407974
27	0.5765367338
28	0.575090489
29	0.5737422585
30	0.5724544162
31	0.5712579345
32	0.5700716084
33	0.5689991717
34	0.5679955278
35	0.567050677
36	0.5661496387
37	0.5653361479
38	0.5645589212
39	0.5636908008
40	0.5629148581
41	0.5621776309
42	0.5615212196
43	0.5609027845
44	0.560347189
45	0.5598742772
46	0.5593310162
47	0.5588542912
48	0.5584585378
49	0.5580416175
50	0.5576590157
51	0.5572407724
52	0.5568506221
53	0.5565151014
54	0.5562196969
55	0.5559015301
56	0.5555141424
57	0.5552190102
58	0.5549495976
59	0.5547075386
60	0.5544574253
61	0.5542277009
62	0.5539842801
63	0.5537307816
64	0.5535589551
65	0.5533136667
66	0.5531244475
67	0.5529283023
68	0.5527561257
69	0.5525821592
70	0.5524394374
71	0.552301735
72	0.5521566008
73	0.5520287816
74	0.551876021
75	0.5517309646
76	0.5515802274
77	0.5514184008
78	0.5512733444
79	0.5511673926
80	0.5510183285
81	0.550910042
82	0.550803312
83	0.5507144416
84	0.5506167775
85	0.5504944446
86	0.5504020334
87	0.5502591171
88	0.5501564337
89	0.5500554623
90	0.54996916
91	0.5498850366
92	0.5498022362
93	0.5497370231
94	0.5496753508
95	0.5495532902
96	0.5494711901
97	0.5493925142
98	0.5493276901
99	0.5492827102
100	0.5492206488
101	0.5491552801
102	0.5490901058
103	0.549023492
104	0.54896645
105	0.5489069955
106	0.5488108879
107	0.5487542739
108	0.5486985937
109	0.5486216298
110	0.5485723697
111	0.5485364558
112	0.5484761843
113	0.5484043565
114	0.5483456024
115	0.5482856811
116	0.5482386778
117	0.5481896123
118	0.5481480954
119	0.5480960728
120	0.5480339335
121	0.5479915217
122	0.5479448686
123	0.5479017564
124	0.5478709786
125	0.5478165046
126	0.5477969718
127	0.5477555327
128	0.5476929655
129	0.5476478688
130	0.5475966633
131	0.5475577533
132	0.5475226176
133	0.5474903223
134	0.5474456537
135	0.5473909073
136	0.5473484566
137	0.5473370559
138	0.5472729712
139	0.5472293531
140	0.5471769025
141	0.547142545
142	0.5471125454
143	0.547091106
144	0.5470711452
145	0.5470411067
146	0.5470231692
147	0.5469543763
148	0.546925583
149	0.5468861283
150	0.5468510704
151	0.5468204482
152	0.5467827445
153	0.5467663244
154	0.5467107221
155	0.5466597889
156	0.5466183887
157	0.5465736812
158	0.5465687396
159	0.5465197909
160	0.5465179621
161	0.5464914255
162	0.5464676126
163	0.5464588967
164	0.5464260178
165	0.5464048897
166	0.5463601821
167	0.546358937
168	0.5463499099
169	0.5463476531
170	0.5463452407
171	0.5463218947
172	0.546262129
173	0.5462479269
174	0.5461929082
175	0.5461660603
176	0.5461235706
177	0.5461020534
178	0.5460885516
179	0.5460607699
180	0.5460116655
181	0.5459906152
182	0.5459613938
183	0.5459464913
184	0.5458938461
185	0.5458923286
186	0.54586622
187	0.5458495277
188	0.5458375434
189	0.5458324073
190	0.5457970381
191	0.5457929137
192	0.5457922522
193	0.5457484785
194	0.5456980511
195	0.5456696079
196	0.5456410869
197	0.5456316318
198	0.5456296085
199	0.5456061069
200	0.5455735392
201	0.5455559519
202	0.5455546679
203	0.5455036569
204	0.5455025674
205	0.5454754083
206	0.5454571984
207	0.5454392998
208	0.5454062653
209	0.5454051369
210	0.5454045921
211	0.545387783
212	0.5453734252
213	0.5453727638
214	0.5453516746
215	0.5453141264
216	0.5453129591
217	0.5453062666
218	0.5453059943
219	0.5452834265
220	0.5452769285
221	0.5452688741
222	0.5452527265
223	0.5452517148
224	0.545250781
225	0.5452454892
226	0.5452443609
227	0.545216618
228	0.5451995366
229	0.5451991475
230	0.5451982136
231	0.5451480976
232	0.5451455684
233	0.5451149463
234	0.5451061526
235	0.5451032344
236	0.5450680598
237	0.5450677485
238	0.545066659
239	0.5450662699
240	0.5450612894
241	0.5450594607
242	0.5450544024
243	0.5450319124
244	0.5450049867
245	0.5449802789
246	0.544963781
247	0.5449614075
248	0.5449559601
249	0.5449553376
250	0.5449459603
251	0.5449243263
252	0.5448960777
253	0.5448931205
254	0.5448709418
255	0.5448651053
256	0.5448489966
257	0.5448481406
258	0.5448338217
259	0.544831565
260	0.5448210982
261	0.5448199309
262	0.544819464
263	0.5447763128
264	0.5447749509
265	0.5447730054
266	0.5447686086
267	0.5447682584
268	0.5447591535
269	0.5447316052
270	0.544722617
271	0.5447188039
272	0.5447167416
273	0.5447154187
274	0.5447021115
275	0.5447003605
276	0.5446903996
277	0.5446453807
278	0.5446333965
279	0.5446312953
280	0.5446307895
281	0.5446265094
282	0.5446031634
283	0.5445914904
284	0.5445640589
285	0.5445568216
286	0.544556238
287	0.5445390009
288	0.5445123864
289	0.5445112581
290	0.5445008691
291	0.5444989625
292	0.544489663
293	0.5444846047
294	0.5444392746
295	0.544422232
296	0.5444210258
297	0.5444065902
298	0.5443771743
299	0.5443743339
300	0.544374256
301	0.5443577971
302	0.5443562407
303	0.5443526999
304	0.5443334784
305	0.5443157354
306	0.5442883428
307	0.5442687711
308	0.5442681485
309	0.5442627401
310	0.5442592382
311	0.5442572927
312	0.5442542188
313	0.5442387715
314	0.5442376431
315	0.5442107563
316	0.5442097447
317	0.5442067486
318	0.5442059315
319	0.5441731304
320	0.54417243
321	0.5441583446
322	0.5441335589
323	0.5441213801
324	0.5441171
325	0.5441156993
326	0.5441066332
327	0.5441035983
328	0.544099396
329	0.5440978007
330	0.5440976061
331	0.5440959719
332	0.5440815752
333	0.5440744936
334	0.5440567507
335	0.5440485796
336	0.5440207978
337	0.5440008759
338	0.5439758179
339	0.5439738724
340	0.5439715767
341	0.5439577248
342	0.5439542618
343	0.5439490089
344	0.5439455849
345	0.5439329391
346	0.5438844573
347	0.5438839904
348	0.5438793601
349	0.5438773368
350	0.5438759749
351	0.5438759749
352	0.543863835
353	0.5438493994
354	0.5438392828
355	0.5438372595
356	0.5438289328
357	0.5438250418
358	0.5438243414
359	0.5438231352
360	0.5437875326
361	0.5437839139
362	0.543783447
363	0.5437802953
364	0.5437781163
365	0.543777844
366	0.5437715017
367	0.5437695951
368	0.5437597119
369	0.543738506
370	0.5437376889
371	0.5437173779
372	0.5437121639
373	0.5437122418
374	0.5437117359
375	0.5436919697
376	0.5436786625
377	0.5436558223
378	0.543652048
379	0.5436471065
380	0.5436464061
381	0.5436429042
382	0.5436402583
383	0.5436108424
384	0.5436093249
385	0.5436030604
386	0.5435982745
387	0.5435982355
388	0.5435972628
389	0.5435917765
390	0.5435917765
391	0.5435884691
392	0.5435843836
393	0.5435839945
394	0.5435816599
395	0.5435816988
396	0.5435790918
397	0.5435642282
398	0.5435599481
399	0.5435579637
400	0.5435544229
401	0.5435508821
402	0.5435493646
403	0.5435491701
404	0.543525007
405	0.5435220109
406	0.5434997155
407	0.5434991708
408	0.543499054
409	0.5434697159
410	0.5434625176
411	0.5434585487
412	0.5434520897
413	0.5434415451
414	0.5434399109
415	0.5434132964
416	0.5434098335
417	0.5434096
418	0.5434090942
419	0.5434057868
420	0.5434036468
421	0.5433984717
422	0.5433983939
423	0.5433959426
424	0.5433950866
425	0.5433667601
426	0.5433660208
427	0.5433610014
428	0.5433431028
429	0.5433349318
430	0.543328356
431	0.5433280836
432	0.543289874
433	0.5432874616
434	0.5432874227
435	0.5432585515
436	0.5432565282
437	0.5432547383
438	0.5432359448
439	0.5432355168
440	0.5432328709
441	0.5432047001
442	0.5432023266
443	0.5431998363
444	0.5431968792
445	0.5431855564
446	0.5431855564
447	0.5431840778
448	0.5431826381
449	0.543157191
450	0.5431518992
451	0.5431159075
452	0.5431039622
453	0.5430796434
454	0.5430794878
455	0.5430656747
456	0.5430643129
457	0.5430631067
458	0.543062951
459	0.543058204
460	0.5430569589
461	0.5430062592
462	0.5430052476
463	0.5429900338
464	0.5429892166
465	0.5429854813
466	0.5429841194
467	0.5429831856
468	0.5429822129
469	0.5429762596
470	0.5429752869
471	0.5429494117
472	0.5429434974
473	0.5429420578
474	0.542940229
475	0.5429170386
476	0.5429162604
477	0.542913848
478	0.5429126418
479	0.5429091399
480	0.5429080894
481	0.5429067275
482	0.5429044707
483	0.54290307
484	0.5429013968
485	0.5428690626
486	0.542846417
487	0.5428263395
488	0.5428207754
489	0.5428153669
490	0.5428152502
491	0.5427938108
492	0.5427929937
493	0.542790698
494	0.5427694531
495	0.5427674687
496	0.5427532666
497	0.5427525662
498	0.542748753
499	0.5427240841
500	0.5427223721
501	0.5427209713
502	0.5427136173
503	0.5427074306
504	0.5427026058
505	0.5426931118
506	0.5426930728
507	0.5426878589
508	0.5426863025
509	0.5426686374
510	0.5426678981
511	0.542661439
512	0.5426600383
513	0.5426582095
514	0.5426544352
515	0.5426434626
516	0.5426432681
517	0.5426330348
518	0.5426321009
519	0.5426208948
520	0.5426020235
521	0.5425971598
522	0.5425924517
523	0.5425916735
524	0.5425912065
525	0.5425866541
526	0.5425863428
527	0.5425843195
528	0.5425759538
529	0.5425735414
