iter	Passed	Remaining
0	44	44272
1	90	44951
2	148	49225
3	207	51725
4	260	51796
5	307	50870
6	356	50540
7	405	50256
8	457	50401
9	509	50394
10	554	49863
11	603	49673
12	654	49715
13	705	49714
14	758	49813
15	838	51591
16	917	53063
17	992	54143
18	1061	54822
19	1128	55317
20	1196	55784
21	1266	56286
22	1331	56544
23	1400	56956
24	1470	57335
25	1573	58927
26	1661	59861
27	1735	60236
28	1801	60334
29	1870	60470
30	1934	60467
31	1999	60477
32	2063	60480
33	2135	60659
34	2203	60762
35	2269	60766
36	2331	60676
37	2391	60547
38	2458	60576
39	2524	60580
40	2601	60845
41	2683	61207
42	2753	61275
43	2818	61236
44	2882	61180
45	2953	61246
46	3019	61218
47	3091	61313
48	3160	61338
49	3232	61413
50	3296	61343
51	3357	61212
52	3421	61136
53	3487	61104
54	3552	61037
55	3627	61149
56	3690	61050
57	3750	60914
58	3815	60854
59	3879	60785
60	3942	60692
61	4004	60586
62	4066	60475
63	4142	60587
64	4222	60741
65	4299	60846
66	4373	60908
67	4447	60956
68	4520	60995
69	4580	60858
70	4646	60797
71	4715	60782
72	4788	60804
73	4863	60860
74	4936	60881
75	5004	60842
76	5066	60726
77	5130	60640
78	5193	60552
79	5261	60511
80	5317	60325
81	5386	60308
82	5454	60262
83	5524	60245
84	5606	60350
85	5687	60449
86	5746	60304
87	5808	60194
88	5885	60243
89	5983	60501
90	6051	60445
91	6128	60482
92	6205	60520
93	6280	60533
94	6355	60543
95	6434	60592
96	6512	60630
97	6598	60731
98	6675	60750
99	6735	60616
100	6797	60507
101	6860	60395
102	6926	60324
103	7001	60320
104	7076	60319
105	7153	60330
106	7226	60310
107	7309	60372
108	7388	60394
109	7463	60384
110	7537	60371
111	7616	60389
112	7693	60390
113	7773	60415
114	7851	60424
115	7926	60404
116	8002	60395
117	8065	60285
118	8136	60237
119	8208	60195
120	8290	60222
121	8364	60197
122	8442	60197
123	8520	60190
124	8594	60164
125	8669	60133
126	8746	60124
127	8827	60135
128	8899	60088
129	8972	60049
130	9049	60033
131	9127	60019
132	9205	60011
133	9285	60009
134	9367	60022
135	9450	60039
136	9510	59906
137	9583	59860
138	9658	59826
139	9737	59818
140	9818	59816
141	9890	59763
142	9973	59770
143	10046	59719
144	10110	59617
145	10186	59586
146	10293	59731
147	10349	59579
148	10425	59545
149	10496	59479
150	10571	59441
151	10654	59440
152	10729	59397
153	10800	59333
154	10877	59301
155	10945	59217
156	11008	59109
157	11066	58973
158	11133	58888
159	11218	58896
160	11292	58847
161	11373	58832
162	11447	58784
163	11513	58688
164	11585	58629
165	11652	58540
166	11716	58441
167	11780	58343
168	11845	58244
169	11918	58188
170	11992	58139
171	12072	58116
172	12157	58118
173	12229	58052
174	12292	57948
175	12386	57991
176	12449	57888
177	12519	57815
178	12601	57797
179	12672	57729
180	12749	57690
181	12828	57656
182	12907	57625
183	12986	57591
184	13067	57567
185	13143	57518
186	13227	57509
187	13304	57462
188	13376	57398
189	13454	57356
190	13537	57338
191	13613	57288
192	13689	57241
193	13770	57209
194	13852	57185
195	13936	57167
196	14017	57139
197	14097	57101
198	14173	57050
199	14250	57001
200	14333	56976
201	14413	56938
202	14507	56957
203	14567	56842
204	14646	56799
205	14718	56731
206	14792	56668
207	14868	56614
208	14928	56499
209	14989	56390
210	15052	56285
211	15116	56188
212	15182	56098
213	15246	55998
214	15311	55903
215	15381	55828
216	15442	55721
217	15505	55620
218	15562	55498
219	15629	55414
220	15689	55303
221	15753	55208
222	15833	55167
223	15907	55107
224	15980	55044
225	16047	54959
226	16110	54860
227	16186	54806
228	16263	54756
229	16322	54644
230	16398	54589
231	16472	54530
232	16570	54546
233	16627	54430
234	16697	54356
235	16770	54290
236	16854	54260
237	16930	54205
238	17005	54148
239	17086	54107
240	17163	54054
241	17226	53958
242	17295	53878
243	17374	53833
244	17446	53763
245	17522	53707
246	17604	53668
247	17682	53617
248	17755	53552
249	17829	53487
250	17908	53441
251	17980	53370
252	18061	53326
253	18137	53271
254	18223	53241
255	18303	53193
256	18363	53089
257	18426	52993
258	18502	52935
259	18577	52875
260	18672	52870
261	18728	52753
262	18799	52682
263	18878	52630
264	18954	52570
265	19030	52512
266	19096	52424
267	19157	52324
268	19234	52270
269	19314	52219
270	19386	52151
271	19466	52100
272	19529	52006
273	19592	51912
274	19663	51840
275	19720	51730
276	19796	51672
277	19880	51633
278	19939	51528
279	20012	51459
280	20086	51396
281	20180	51380
282	20254	51316
283	20331	51257
284	20405	51193
285	20480	51130
286	20555	51066
287	20635	51014
288	20698	50923
289	20770	50853
290	20846	50791
291	20923	50732
292	21001	50675
293	21076	50611
294	21158	50564
295	21237	50511
296	21313	50448
297	21396	50404
298	21478	50355
299	21556	50297
300	21637	50247
301	21749	50268
302	21813	50177
303	21887	50111
304	21969	50061
305	22046	50000
306	22130	49955
307	22209	49900
308	22291	49848
309	22372	49797
310	22447	49732
311	22521	49661
312	22600	49605
313	22671	49530
314	22738	49447
315	22826	49409
316	22891	49321
317	22960	49242
318	23015	49132
319	23127	49145
320	23194	49062
321	23262	48980
322	23340	48921
323	23416	48856
324	23492	48792
325	23565	48721
326	23645	48665
327	23719	48596
328	23805	48550
329	23869	48462
330	23932	48370
331	23994	48277
332	24060	48193
333	24121	48097
334	24191	48021
335	24266	47955
336	24350	47906
337	24429	47847
338	24508	47788
339	24580	47714
340	24655	47647
341	24735	47589
342	24825	47552
343	24890	47464
344	24967	47401
345	25043	47337
346	25124	47280
347	25198	47210
348	25265	47128
349	25329	47040
350	25407	46977
351	25487	46920
352	25570	46866
353	25648	46805
354	25724	46738
355	25799	46671
356	25880	46614
357	25962	46558
358	26022	46462
359	26098	46398
360	26175	46332
361	26251	46266
362	26323	46192
363	26394	46117
364	26450	46016
365	26521	45941
366	26597	45876
367	26671	45805
368	26751	45746
369	26837	45695
370	26910	45624
371	26984	45553
372	27081	45523
373	27127	45405
374	27201	45336
375	27277	45268
376	27348	45193
377	27416	45114
378	27493	45048
379	27557	44963
380	27634	44897
381	27707	44824
382	27785	44760
383	27864	44699
384	27940	44631
385	28017	44567
386	28094	44500
387	28168	44430
388	28237	44353
389	28308	44277
390	28371	44190
391	28435	44104
392	28509	44033
393	28572	43946
394	28639	43865
395	28699	43774
396	28762	43687
397	28832	43611
398	28893	43520
399	28957	43436
400	29051	43396
401	29112	43306
402	29179	43226
403	29246	43146
404	29313	43065
405	29370	42970
406	29440	42895
407	29506	42812
408	29566	42722
409	29630	42639
410	29698	42560
411	29765	42480
412	29829	42397
413	29892	42311
414	29953	42223
415	30016	42138
416	30088	42065
417	30128	41949
418	30196	41871
419	30271	41803
420	30346	41735
421	30426	41674
422	30499	41603
423	30592	41559
424	30657	41477
425	30718	41390
426	30783	41309
427	30851	41231
428	30917	41150
429	30989	41079
430	31053	40996
431	31116	40911
432	31188	40840
433	31257	40763
434	31303	40658
435	31373	40583
436	31434	40497
437	31501	40419
438	31569	40342
