iter	Passed	Remaining
0	43	86868
1	83	83102
2	122	81523
3	161	80588
4	203	81277
5	242	80730
6	283	80784
7	324	80779
8	363	80411
9	404	80539
10	443	80153
11	488	80874
12	527	80570
13	568	80647
14	608	80498
15	650	80716
16	690	80522
17	730	80433
18	770	80361
19	810	80240
20	852	80371
21	892	80257
22	931	80053
23	969	79840
24	1009	79780
25	1048	79633
26	1087	79497
27	1128	79471
28	1169	79460
29	1210	79499
30	1251	79502
31	1291	79424
32	1329	79261
33	1369	79179
34	1408	79071
35	1448	79020
36	1488	78992
37	1528	78908
38	1567	78792
39	1608	78792
40	1648	78751
41	1689	78784
42	1732	78841
43	1775	78923
44	1816	78896
45	1856	78870
46	1895	78780
47	1933	78634
48	1976	78686
49	2017	78681
50	2060	78758
51	2105	78891
52	2148	78914
53	2188	78869
54	2228	78793
55	2266	78695
56	2307	78669
57	2349	78664
58	2389	78625
59	2431	78611
60	2470	78530
61	2510	78473
62	2550	78407
63	2593	78440
64	2638	78544
65	2678	78501
66	2717	78398
67	2759	78412
68	2802	78420
69	2843	78391
70	2886	78431
71	2928	78430
72	2968	78367
73	3011	78372
74	3053	78376
75	3093	78314
76	3136	78337
77	3178	78333
78	3221	78325
79	3263	78334
80	3306	78331
81	3348	78316
82	3388	78271
83	3431	78263
84	3471	78205
85	3510	78134
86	3548	78026
87	3587	77937
88	3626	77877
89	3667	77836
90	3707	77770
91	3745	77683
92	3784	77596
93	3823	77534
94	3863	77480
95	3902	77402
96	3942	77339
97	3980	77263
98	4021	77229
99	4060	77149
100	4102	77126
101	4140	77043
102	4179	76976
103	4221	76962
104	4262	76921
105	4301	76856
106	4341	76809
107	4381	76756
108	4421	76710
109	4461	76661
110	4500	76588
111	4539	76520
112	4578	76461
113	4619	76430
114	4660	76383
115	4699	76320
116	4739	76282
117	4776	76186
118	4816	76132
119	4855	76066
120	4895	76017
121	4933	75949
122	4977	75953
123	5017	75911
124	5057	75867
125	5096	75796
126	5136	75753
127	5174	75671
128	5212	75605
129	5252	75549
130	5290	75478
131	5330	75441
132	5369	75371
133	5414	75402
134	5454	75353
135	5492	75276
136	5532	75227
137	5575	75229
138	5615	75177
139	5655	75134
140	5694	75073
141	5735	75041
142	5773	74968
143	5812	74921
144	5853	74879
145	5893	74844
